Transaction Date,Description ,Amount,Transaction Type
03/12/2026,ACME PAYROLL,"$2,841.50",CREDIT
03/11/2026,WHOLE FOODS MKT,$69.91,DEBIT
03/11/2026,METRO TRANSIT,$2.75,DEBIT
03/10/2026,UBER *TRIP,$27.41,DEBIT
03/10/2026,BLUE BOTTLE COFFEE,$7.48,DEBIT
03/10/2026,METRO TRANSIT,$2.75,DEBIT
03/10/2026,COMCAST CABLE COMM,$69.99,DEBIT
03/09/2026,TARGET T-1432,$24.99,DEBIT
03/09/2026,STARBUCKS #2231,$4.72,DEBIT
03/08/2026,THAI SPICE,$20.09,DEBIT
03/08/2026,AMC THEATRES 0412,$50.15,DEBIT
03/07/2026,STARBUCKS #2231,$7.20,DEBIT
03/07/2026,SHELL OIL 5741,$42.41,DEBIT
03/07/2026,PANERA BREAD #601,$15.43,DEBIT
03/07/2026,NETFLIX.COM,$15.49,DEBIT
03/07/2026,METRO TRANSIT,$2.75,DEBIT
03/06/2026,PANERA BREAD #601,$11.92,DEBIT
03/06/2026,METRO TRANSIT,$2.75,DEBIT
03/05/2026,WHOLE FOODS MKT,$75.43,DEBIT
03/05/2026,BLUE BOTTLE COFFEE,$5.58,DEBIT
03/05/2026,PLANET FITNESS #1123,$24.99,DEBIT
03/03/2026,APPLE.COM/BILL ICLOUD,$2.99,DEBIT
03/03/2026,OAKWOOD APARTMENTS,"$1,450.00",DEBIT
03/03/2026,METRO TRANSIT,$2.75,DEBIT
03/01/2026,STARBUCKS #2231,$6.39,DEBIT
03/01/2026,CVS/PHARMACY #0921,$22.67,DEBIT
03/01/2026,METRO TRANSIT,$2.75,DEBIT
02/27/2026,UBER *TRIP,$18.15,DEBIT
02/27/2026,TRADER JOE'S #551,$64.23,DEBIT
02/27/2026,PANERA BREAD #601,$23.55,DEBIT
02/26/2026,ACME PAYROLL,"$2,841.50",CREDIT
02/25/2026,UBER *TRIP,$24.09,DEBIT
02/25/2026,SHELL OIL 5741,$46.74,DEBIT
02/24/2026,STARBUCKS #2231,$3.93,DEBIT
02/24/2026,METRO TRANSIT,$2.75,DEBIT
02/23/2026,STARBUCKS #2231,$6.21,DEBIT
02/23/2026,METRO TRANSIT,$2.75,DEBIT
02/22/2026,NYTIMES DIGITAL,$17.00,DEBIT
02/22/2026,KROGER #412,$96.72,DEBIT
02/21/2026,WHOLE FOODS MKT,$52.48,DEBIT
02/20/2026,STARBUCKS #2231,$5.55,DEBIT
02/20/2026,METRO WATER DEPT,$35.35,DEBIT
02/20/2026,METRO TRANSIT,$2.75,DEBIT
02/19/2026,UBER *TRIP,$13.94,DEBIT
02/18/2026,TARGET T-1432,$48.35,DEBIT
02/18/2026,STARBUCKS #2231,$5.88,DEBIT
02/18/2026,HULU 877-8244858,$7.99,DEBIT
02/18/2026,METRO TRANSIT,$2.75,DEBIT
02/17/2026,STARBUCKS #2231,$4.64,DEBIT
02/17/2026,CHIPOTLE 1123,$28.46,DEBIT
02/16/2026,PANERA BREAD #601,$19.98,DEBIT
02/16/2026,BLUE BOTTLE COFFEE,$6.17,DEBIT
02/16/2026,METRO TRANSIT,$2.75,DEBIT
02/15/2026,WHOLE FOODS MKT,$99.48,DEBIT
02/15/2026,SHELL OIL 5741,$39.86,DEBIT
02/15/2026,IKEA SEATTLE,"$1,160.06",DEBIT
02/15/2026,METRO TRANSIT,$2.75,DEBIT
02/15/2026,CITY POWER & LIGHT,$145.58,DEBIT
02/14/2026,UBER *TRIP,$11.25,DEBIT
02/13/2026,AMAZON MKTPLACE PMTS,$35.38,DEBIT
02/12/2026,SPOTIFY USA,$11.99,DEBIT
02/12/2026,METRO TRANSIT,$2.75,DEBIT
02/12/2026,ACME PAYROLL,"$2,841.50",CREDIT
02/11/2026,THAI SPICE,$19.21,DEBIT
02/11/2026,STARBUCKS #2231,$5.42,DEBIT
02/11/2026,METRO TRANSIT,$2.75,DEBIT
02/10/2026,STARBUCKS #2231,$5.22,DEBIT
02/10/2026,AMC THEATRES 0412,$22.08,DEBIT
02/10/2026,METRO TRANSIT,$2.75,DEBIT
02/10/2026,COMCAST CABLE COMM,$69.99,DEBIT
02/08/2026,METRO TRANSIT,$2.75,DEBIT
02/07/2026,TRADER JOE'S #551,$76.52,DEBIT
02/07/2026,THAI SPICE,$33.81,DEBIT
02/07/2026,SHELL OIL 5741,$52.37,DEBIT
02/07/2026,NETFLIX.COM,$15.49,DEBIT
02/06/2026,CVS/PHARMACY #0921,$23.07,DEBIT
02/05/2026,PLANET FITNESS #1123,$24.99,DEBIT
02/05/2026,METRO TRANSIT,$2.75,DEBIT
02/04/2026,UBER *TRIP,$15.87,DEBIT
02/04/2026,BLUE BOTTLE COFFEE,$5.33,DEBIT
02/04/2026,AMAZON MKTPLACE PMTS,$31.05,DEBIT
02/04/2026,METRO TRANSIT,$2.75,DEBIT
02/03/2026,TRADER JOE'S #551,$81.32,DEBIT
02/03/2026,TARGET T-1432,$49.14,DEBIT
02/03/2026,STARBUCKS #2231,$5.49,DEBIT
02/03/2026,APPLE.COM/BILL ICLOUD,$2.99,DEBIT
02/02/2026,STARBUCKS #2231,$6.11,DEBIT
02/02/2026,OAKWOOD APARTMENTS,"$1,450.00",DEBIT
01/31/2026,UBER *TRIP,$21.89,DEBIT
01/31/2026,KROGER #412,$62.96,DEBIT
01/30/2026,STARBUCKS #2231,$4.75,DEBIT
01/30/2026,SHELL OIL 5741,$41.88,DEBIT
01/30/2026,PANERA BREAD #601,$22.21,DEBIT
01/30/2026,METRO TRANSIT,$2.75,DEBIT
01/29/2026,METRO TRANSIT,$2.75,DEBIT
01/29/2026,ACME PAYROLL,"$2,841.50",CREDIT
01/28/2026,UBER *TRIP,$19.44,DEBIT
01/28/2026,BLUE BOTTLE COFFEE,$6.44,DEBIT
01/28/2026,METRO TRANSIT,$2.75,DEBIT
01/27/2026,STARBUCKS #2231,$4.71,DEBIT
01/27/2026,METRO TRANSIT,$2.75,DEBIT
01/26/2026,THAI SPICE,$22.34,DEBIT
01/26/2026,BLUE BOTTLE COFFEE,$5.30,DEBIT
01/26/2026,METRO TRANSIT,$2.75,DEBIT
01/25/2026,WHOLE FOODS MKT,$58.79,DEBIT
01/25/2026,THAI SPICE,$18.53,DEBIT
01/24/2026,METRO TRANSIT,$2.75,DEBIT
01/23/2026,TRADER JOE'S #551,$62.61,DEBIT
01/23/2026,CVS/PHARMACY #0921,$15.77,DEBIT
01/23/2026,METRO TRANSIT,$2.75,DEBIT
01/22/2026,NYTIMES DIGITAL,$17.00,DEBIT
01/22/2026,BLUE BOTTLE COFFEE,$4.86,DEBIT
01/22/2026,METRO TRANSIT,$2.75,DEBIT
01/21/2026,UBER *TRIP,$15.53,DEBIT
01/21/2026,BLUE BOTTLE COFFEE,$6.34,DEBIT
01/21/2026,METRO TRANSIT,$2.75,DEBIT
01/20/2026,SHELL OIL 5741,$42.29,DEBIT
01/20/2026,CHIPOTLE 1123,$17.59,DEBIT
01/20/2026,METRO WATER DEPT,$36.97,DEBIT
01/20/2026,METRO TRANSIT,$2.75,DEBIT
01/19/2026,UBER *TRIP,$16.93,DEBIT
01/18/2026,HULU 877-8244858,$7.99,DEBIT
01/18/2026,BLUE BOTTLE COFFEE,$5.13,DEBIT
01/17/2026,CHIPOTLE 1123,$34.26,DEBIT
01/16/2026,STARBUCKS #2231,$6.89,DEBIT
01/16/2026,METRO TRANSIT,$2.75,DEBIT
01/15/2026,BLUE BOTTLE COFFEE,$5.12,DEBIT
01/15/2026,METRO TRANSIT,$2.75,DEBIT
01/15/2026,CITY POWER & LIGHT,$147.53,DEBIT
01/15/2026,ACME PAYROLL,"$2,841.50",CREDIT
01/14/2026,BLUE BOTTLE COFFEE,$5.15,DEBIT
01/14/2026,METRO TRANSIT,$2.75,DEBIT
01/13/2026,TARGET T-1432,$22.55,DEBIT
01/13/2026,METRO TRANSIT,$2.75,DEBIT
01/12/2026,TRADER JOE'S #551,$71.04,DEBIT
01/12/2026,SPOTIFY USA,$11.99,DEBIT
01/12/2026,SHELL OIL 5741,$42.19,DEBIT
01/12/2026,METRO TRANSIT,$2.75,DEBIT
01/11/2026,UBER *TRIP,$21.39,DEBIT
01/11/2026,TRADER JOE'S #551,$103.63,DEBIT
01/10/2026,CHIPOTLE 1123,$20.74,DEBIT
01/10/2026,METRO TRANSIT,$2.75,DEBIT
01/10/2026,COMCAST CABLE COMM,$69.99,DEBIT
01/09/2026,STARBUCKS #2231,$5.36,DEBIT
01/08/2026,STARBUCKS #2231,$5.86,DEBIT
01/08/2026,METRO TRANSIT,$2.75,DEBIT
01/07/2026,UBER *TRIP,$17.04,DEBIT
01/07/2026,NETFLIX.COM,$15.49,DEBIT
01/07/2026,METRO TRANSIT,$2.75,DEBIT
01/06/2026,WHOLE FOODS MKT,$91.01,DEBIT
01/06/2026,STARBUCKS #2231,$7.86,DEBIT
01/06/2026,CHIPOTLE 1123,$18.24,DEBIT
01/05/2026,CHIPOTLE 1123,$24.62,DEBIT
01/05/2026,BLUE BOTTLE COFFEE,$6.23,DEBIT
01/05/2026,PLANET FITNESS #1123,$24.99,DEBIT
01/04/2026,PANERA BREAD #601,$22.44,DEBIT
01/04/2026,BLUE BOTTLE COFFEE,$4.32,DEBIT
01/04/2026,METRO TRANSIT,$2.75,DEBIT
01/03/2026,KROGER #412,$56.88,DEBIT
01/03/2026,CHIPOTLE 1123,$22.57,DEBIT
01/03/2026,APPLE.COM/BILL ICLOUD,$2.99,DEBIT
01/03/2026,AMAZON MKTPLACE PMTS,$29.54,DEBIT
01/03/2026,OAKWOOD APARTMENTS,"$1,450.00",DEBIT
01/02/2026,STARBUCKS #2231,$4.26,DEBIT
01/02/2026,SHELL OIL 5741,$44.40,DEBIT
01/01/2026,THAI SPICE,$16.49,DEBIT
01/01/2026,STARBUCKS #2231,$5.22,DEBIT
01/01/2026,ACME PAYROLL,"$2,841.50",CREDIT
12/30/2025,METRO TRANSIT,$2.75,DEBIT
12/29/2025,METRO TRANSIT,$2.75,DEBIT
12/28/2025,PANERA BREAD #601,$18.04,DEBIT
12/28/2025,METRO TRANSIT,$2.75,DEBIT
12/27/2025,WHOLE FOODS MKT,$72.96,DEBIT
12/27/2025,METRO TRANSIT,$2.75,DEBIT
12/24/2025,STARBUCKS #2231,$6.60,DEBIT
12/23/2025,STARBUCKS #2231,$5.65,DEBIT
12/23/2025,CVS/PHARMACY #0921,$17.17,DEBIT
12/23/2025,METRO TRANSIT,$2.75,DEBIT
12/22/2025,STARBUCKS #2231,$5.77,DEBIT
12/22/2025,NYTIMES DIGITAL,$17.00,DEBIT
12/21/2025,SHELL OIL 5741,$42.91,DEBIT
12/21/2025,CHIPOTLE 1123,$16.72,DEBIT
12/21/2025,AMAZON MKTPLACE PMTS,$162.76,DEBIT
12/21/2025,METRO TRANSIT,$2.75,DEBIT
12/20/2025,METRO WATER DEPT,$41.45,DEBIT
12/19/2025,TRADER JOE'S #551,$78.61,DEBIT
12/19/2025,TARGET T-1432,$39.76,DEBIT
12/19/2025,CHIPOTLE 1123,$25.05,DEBIT
12/19/2025,METRO TRANSIT,$2.75,DEBIT
12/18/2025,TRADER JOE'S #551,$102.05,DEBIT
12/18/2025,STARBUCKS #2231,$7.26,DEBIT
12/18/2025,PANERA BREAD #601,$25.65,DEBIT
12/18/2025,HULU 877-8244858,$7.99,DEBIT
12/18/2025,METRO TRANSIT,$2.75,DEBIT
12/18/2025,ACME PAYROLL,"$2,841.50",CREDIT
12/17/2025,STARBUCKS #2231,$5.19,DEBIT
12/17/2025,METRO TRANSIT,$2.75,DEBIT
12/16/2025,BLUE BOTTLE COFFEE,$4.24,DEBIT
12/16/2025,AMAZON MKTPLACE PMTS,$37.89,DEBIT
12/16/2025,METRO TRANSIT,$2.75,DEBIT
12/15/2025,STARBUCKS #2231,$4.55,DEBIT
12/15/2025,CITY POWER & LIGHT,$156.14,DEBIT
12/14/2025,STARBUCKS #2231,$7.48,DEBIT
12/14/2025,PANERA BREAD #601,$32.65,DEBIT
12/13/2025,WHOLE FOODS MKT,$80.90,DEBIT
12/13/2025,CHIPOTLE 1123,$21.63,DEBIT
12/13/2025,METRO TRANSIT,$2.75,DEBIT
12/12/2025,TARGET T-1432,$34.53,DEBIT
12/12/2025,SPOTIFY USA,$11.99,DEBIT
12/12/2025,METRO TRANSIT,$2.75,DEBIT
12/11/2025,TRADER JOE'S #551,$67.34,DEBIT
12/11/2025,TARGET T-1432,$85.53,DEBIT
12/11/2025,STARBUCKS #2231,$4.40,DEBIT
12/11/2025,AMAZON MKTPLACE PMTS,$81.68,DEBIT
12/11/2025,METRO TRANSIT,$2.75,DEBIT
12/10/2025,BLUE BOTTLE COFFEE,$5.95,DEBIT
12/10/2025,COMCAST CABLE COMM,$69.99,DEBIT
12/09/2025,SHELL OIL 5741,$42.45,DEBIT
12/09/2025,BLUE BOTTLE COFFEE,$4.65,DEBIT
12/09/2025,AMAZON MKTPLACE PMTS,$51.63,DEBIT
12/09/2025,METRO TRANSIT,$2.75,DEBIT
12/07/2025,THAI SPICE,$22.05,DEBIT
12/07/2025,TARGET T-1432,$41.23,DEBIT
12/07/2025,NETFLIX.COM,$15.49,DEBIT
12/07/2025,AMAZON MKTPLACE PMTS,$122.90,DEBIT
12/07/2025,METRO TRANSIT,$2.75,DEBIT
12/06/2025,STARBUCKS #2231,$7.00,DEBIT
12/05/2025,STARBUCKS #2231,$3.83,DEBIT
12/05/2025,PLANET FITNESS #1123,$24.99,DEBIT
12/05/2025,METRO TRANSIT,$2.75,DEBIT
12/05/2025,ACME PAYROLL,"$2,841.50",CREDIT
12/04/2025,TARGET T-1432,$106.26,DEBIT
12/04/2025,BEST BUY 00412,"$1,134.81",DEBIT
12/04/2025,AMAZON MKTPLACE PMTS,$80.92,DEBIT
12/04/2025,METRO TRANSIT,$2.75,DEBIT
12/03/2025,TRADER JOE'S #551,$52.98,DEBIT
12/03/2025,APPLE.COM/BILL ICLOUD,$2.99,DEBIT
12/03/2025,AMAZON MKTPLACE PMTS,$54.05,DEBIT
12/03/2025,METRO TRANSIT,$2.75,DEBIT
12/02/2025,CHIPOTLE 1123,$20.53,DEBIT
12/01/2025,SHELL OIL 5741,$40.93,DEBIT
12/01/2025,OAKWOOD APARTMENTS,"$1,450.00",DEBIT
12/01/2025,METRO TRANSIT,$2.75,DEBIT
11/30/2025,UBER *TRIP,$28.04,DEBIT
11/30/2025,CHIPOTLE 1123,$19.86,DEBIT
11/29/2025,KROGER #412,$50.67,DEBIT
11/28/2025,UBER *TRIP,$14.71,DEBIT
11/28/2025,KROGER #412,$66.84,DEBIT
11/28/2025,BLUE BOTTLE COFFEE,$5.08,DEBIT
11/28/2025,METRO TRANSIT,$2.75,DEBIT
11/27/2025,STARBUCKS #2231,$5.01,DEBIT
11/27/2025,METRO TRANSIT,$2.75,DEBIT
11/26/2025,METRO TRANSIT,$2.75,DEBIT
11/25/2025,STARBUCKS #2231,$5.73,DEBIT
11/25/2025,METRO TRANSIT,$2.75,DEBIT
11/24/2025,BLUE BOTTLE COFFEE,$5.15,DEBIT
11/24/2025,AMC THEATRES 0412,$30.93,DEBIT
11/23/2025,CHIPOTLE 1123,$24.51,DEBIT
11/23/2025,METRO TRANSIT,$2.75,DEBIT
11/22/2025,WHOLE FOODS MKT,$43.09,DEBIT
11/22/2025,THAI SPICE,$21.18,DEBIT
11/22/2025,SHELL OIL 5741,$44.11,DEBIT
11/22/2025,NYTIMES DIGITAL,$17.00,DEBIT
11/21/2025,UBER *TRIP,$26.18,DEBIT
11/21/2025,CHIPOTLE 1123,$31.50,DEBIT
11/21/2025,BLUE BOTTLE COFFEE,$4.87,DEBIT
11/21/2025,ACME PAYROLL,"$2,841.50",CREDIT
11/20/2025,METRO WATER DEPT,$42.84,DEBIT
11/20/2025,METRO TRANSIT,$2.75,DEBIT
11/19/2025,METRO TRANSIT,$2.75,DEBIT
11/18/2025,WHOLE FOODS MKT,$74.23,DEBIT
11/18/2025,HULU 877-8244858,$7.99,DEBIT
11/18/2025,AMAZON MKTPLACE PMTS,$49.95,DEBIT
11/18/2025,METRO TRANSIT,$2.75,DEBIT
11/17/2025,BLUE BOTTLE COFFEE,$5.88,DEBIT
11/17/2025,AMAZON MKTPLACE PMTS,$46.92,DEBIT
11/17/2025,METRO TRANSIT,$2.75,DEBIT
11/16/2025,WHOLE FOODS MKT,$72.76,DEBIT
11/16/2025,THAI SPICE,$17.51,DEBIT
11/16/2025,STARBUCKS #2231,$4.27,DEBIT
11/16/2025,AMAZON MKTPLACE PMTS,$29.60,DEBIT
11/15/2025,KROGER #412,$75.90,DEBIT
11/15/2025,CITY POWER & LIGHT,$113.07,DEBIT
11/14/2025,UBER *TRIP,$10.64,DEBIT
11/14/2025,BLUE BOTTLE COFFEE,$6.17,DEBIT
11/14/2025,METRO TRANSIT,$2.75,DEBIT
11/13/2025,CVS/PHARMACY #0921,$12.01,DEBIT
11/13/2025,METRO TRANSIT,$2.75,DEBIT
11/12/2025,SPOTIFY USA,$11.99,DEBIT
11/12/2025,SHELL OIL 5741,$46.01,DEBIT
11/12/2025,BLUE BOTTLE COFFEE,$5.97,DEBIT
11/11/2025,METRO TRANSIT,$2.75,DEBIT
11/10/2025,TARGET T-1432,$63.42,DEBIT
11/10/2025,BLUE BOTTLE COFFEE,$5.01,DEBIT
11/10/2025,COMCAST CABLE COMM,$69.99,DEBIT
11/09/2025,TARGET T-1432,$39.14,DEBIT
11/09/2025,STARBUCKS #2231,$5.09,DEBIT
11/09/2025,CHIPOTLE 1123,$16.65,DEBIT
11/08/2025,UBER *TRIP,$7.62,DEBIT
11/08/2025,METRO TRANSIT,$2.75,DEBIT
11/07/2025,STARBUCKS #2231,$5.16,DEBIT
11/07/2025,NETFLIX.COM,$15.49,DEBIT
11/07/2025,METRO TRANSIT,$2.75,DEBIT
11/06/2025,BLUE BOTTLE COFFEE,$4.29,DEBIT
11/06/2025,METRO TRANSIT,$2.75,DEBIT
11/06/2025,ACME PAYROLL,"$2,841.50",CREDIT
11/05/2025,PLANET FITNESS #1123,$24.99,DEBIT
11/04/2025,BLUE BOTTLE COFFEE,$5.16,DEBIT
11/04/2025,METRO TRANSIT,$2.75,DEBIT
11/03/2025,TRADER JOE'S #551,$50.79,DEBIT
11/03/2025,APPLE.COM/BILL ICLOUD,$2.99,DEBIT
11/03/2025,METRO TRANSIT,$2.75,DEBIT
11/02/2025,UBER *TRIP,$28.01,DEBIT
11/02/2025,THAI SPICE,$31.57,DEBIT
11/02/2025,SHELL OIL 5741,$44.14,DEBIT
11/02/2025,BLUE BOTTLE COFFEE,$4.61,DEBIT
11/02/2025,METRO TRANSIT,$2.75,DEBIT
11/01/2025,BLUE BOTTLE COFFEE,$6.12,DEBIT
11/01/2025,OAKWOOD APARTMENTS,"$1,450.00",DEBIT
10/31/2025,BLUE BOTTLE COFFEE,$4.68,DEBIT
10/31/2025,METRO TRANSIT,$2.75,DEBIT
10/30/2025,WHOLE FOODS MKT,$91.37,DEBIT
10/29/2025,METRO TRANSIT,$2.75,DEBIT
10/27/2025,TRADER JOE'S #551,$75.86,DEBIT
10/26/2025,UBER *TRIP,$21.27,DEBIT
10/25/2025,METRO TRANSIT,$2.75,DEBIT
10/24/2025,ACME PAYROLL,"$2,841.50",CREDIT
10/23/2025,BLUE BOTTLE COFFEE,$6.63,DEBIT
10/23/2025,AMAZON MKTPLACE PMTS,$40.44,DEBIT
10/22/2025,TARGET T-1432,$25.12,DEBIT
10/22/2025,NYTIMES DIGITAL,$17.00,DEBIT
10/21/2025,UBER *TRIP,$20.08,DEBIT
10/21/2025,SHELL OIL 5741,$42.90,DEBIT
10/21/2025,PANERA BREAD #601,$21.67,DEBIT
10/21/2025,KROGER #412,$98.63,DEBIT
10/21/2025,BLUE BOTTLE COFFEE,$4.42,DEBIT
10/21/2025,METRO TRANSIT,$2.75,DEBIT
10/20/2025,WHOLE FOODS MKT,$109.43,DEBIT
10/20/2025,STARBUCKS #2231,$5.66,DEBIT
10/20/2025,AMAZON MKTPLACE PMTS,$49.15,DEBIT
10/20/2025,METRO WATER DEPT,$39.09,DEBIT
10/20/2025,METRO TRANSIT,$2.75,DEBIT
10/19/2025,UBER *TRIP,$20.32,DEBIT
10/19/2025,CVS/PHARMACY #0921,$16.57,DEBIT
10/18/2025,UBER *TRIP,$23.08,DEBIT
10/18/2025,THAI SPICE,$19.63,DEBIT
10/18/2025,HULU 877-8244858,$7.99,DEBIT
10/18/2025,METRO TRANSIT,$2.75,DEBIT
10/17/2025,WHOLE FOODS MKT,$62.32,DEBIT
10/17/2025,METRO TRANSIT,$2.75,DEBIT
10/16/2025,THAI SPICE,$31.64,DEBIT
10/16/2025,BLUE BOTTLE COFFEE,$5.66,DEBIT
10/16/2025,METRO TRANSIT,$2.75,DEBIT
10/15/2025,STARBUCKS #2231,$4.99,DEBIT
10/15/2025,CHIPOTLE 1123,$24.59,DEBIT
10/15/2025,METRO TRANSIT,$2.75,DEBIT
10/15/2025,CITY POWER & LIGHT,$85.93,DEBIT
10/14/2025,STARBUCKS #2231,$5.37,DEBIT
10/13/2025,METRO TRANSIT,$2.75,DEBIT
10/12/2025,SPOTIFY USA,$11.99,DEBIT
10/12/2025,METRO TRANSIT,$2.75,DEBIT
10/11/2025,WHOLE FOODS MKT,$77.25,DEBIT
10/11/2025,METRO TRANSIT,$2.75,DEBIT
10/10/2025,PANERA BREAD #601,$15.59,DEBIT
10/10/2025,COMCAST CABLE COMM,$69.99,DEBIT
10/09/2025,STARBUCKS #2231,$5.78,DEBIT
10/09/2025,SHELL OIL 5741,$38.78,DEBIT
10/09/2025,ACME PAYROLL,"$2,841.50",CREDIT
10/08/2025,BLUE BOTTLE COFFEE,$4.81,DEBIT
10/08/2025,METRO TRANSIT,$2.75,DEBIT
10/07/2025,NETFLIX.COM,$15.49,DEBIT
10/07/2025,AMAZON MKTPLACE PMTS,$39.14,DEBIT
10/07/2025,METRO TRANSIT,$2.75,DEBIT
10/06/2025,METRO TRANSIT,$2.75,DEBIT
10/05/2025,PANERA BREAD #601,$20.91,DEBIT
10/05/2025,BLUE BOTTLE COFFEE,$4.91,DEBIT
10/05/2025,PLANET FITNESS #1123,$24.99,DEBIT
10/05/2025,METRO TRANSIT,$2.75,DEBIT
10/04/2025,PANERA BREAD #601,$16.13,DEBIT
10/03/2025,BEST BUY 00412,$570.85,DEBIT
10/03/2025,APPLE.COM/BILL ICLOUD,$2.99,DEBIT
10/02/2025,STARBUCKS #2231,$5.25,DEBIT
10/02/2025,AMC THEATRES 0412,$37.76,DEBIT
10/02/2025,OAKWOOD APARTMENTS,"$1,450.00",DEBIT
10/01/2025,STARBUCKS #2231,$7.46,DEBIT
10/01/2025,METRO TRANSIT,$2.75,DEBIT
09/30/2025,WHOLE FOODS MKT,$79.12,DEBIT
09/30/2025,METRO TRANSIT,$2.75,DEBIT
09/29/2025,STARBUCKS #2231,$5.75,DEBIT
09/29/2025,SHELL OIL 5741,$48.32,DEBIT
09/28/2025,PANERA BREAD #601,$17.75,DEBIT
09/26/2025,THAI SPICE,$22.57,DEBIT
09/26/2025,AMAZON MKTPLACE PMTS,$47.62,DEBIT
09/26/2025,ACME PAYROLL,"$2,841.50",CREDIT
09/25/2025,UBER *TRIP,$12.84,DEBIT
09/25/2025,METRO TRANSIT,$2.75,DEBIT
09/24/2025,STARBUCKS #2231,$5.37,DEBIT
09/24/2025,PANERA BREAD #601,$26.20,DEBIT
09/24/2025,METRO TRANSIT,$2.75,DEBIT
09/23/2025,TRADER JOE'S #551,$68.26,DEBIT
09/23/2025,BLUE BOTTLE COFFEE,$5.35,DEBIT
09/23/2025,METRO TRANSIT,$2.75,DEBIT
09/22/2025,NYTIMES DIGITAL,$17.00,DEBIT
09/22/2025,BLUE BOTTLE COFFEE,$5.71,DEBIT
09/21/2025,UBER *TRIP,$16.06,DEBIT
09/20/2025,STARBUCKS #2231,$6.53,DEBIT
09/20/2025,PANERA BREAD #601,$28.15,DEBIT
09/20/2025,METRO WATER DEPT,$35.44,DEBIT
09/19/2025,METRO TRANSIT,$2.75,DEBIT
09/18/2025,SHELL OIL 5741,$39.90,DEBIT
09/18/2025,HULU 877-8244858,$7.99,DEBIT
09/18/2025,METRO TRANSIT,$2.75,DEBIT
09/16/2025,STARBUCKS #2231,$6.05,DEBIT
09/16/2025,KROGER #412,$70.10,DEBIT
09/15/2025,UBER *TRIP,$23.31,DEBIT
09/15/2025,THAI SPICE,$19.28,DEBIT
09/15/2025,BLUE BOTTLE COFFEE,$4.35,DEBIT
09/15/2025,METRO TRANSIT,$2.75,DEBIT
09/15/2025,CITY POWER & LIGHT,$81.75,DEBIT
09/14/2025,UBER *TRIP,$16.68,DEBIT
09/14/2025,THAI SPICE,$29.61,DEBIT
09/14/2025,STARBUCKS #2231,$6.95,DEBIT
09/13/2025,UBER *TRIP,$15.92,DEBIT
09/13/2025,STARBUCKS #2231,$5.61,DEBIT
09/13/2025,CHIPOTLE 1123,$28.57,DEBIT
09/13/2025,AMAZON MKTPLACE PMTS,$22.99,DEBIT
09/13/2025,METRO TRANSIT,$2.75,DEBIT
09/12/2025,SPOTIFY USA,$11.99,DEBIT
09/12/2025,ACME PAYROLL,"$2,841.50",CREDIT
09/11/2025,WHOLE FOODS MKT,$84.11,DEBIT
09/11/2025,CHIPOTLE 1123,$22.20,DEBIT
09/11/2025,BLUE BOTTLE COFFEE,$6.84,DEBIT
09/11/2025,AMAZON MKTPLACE PMTS,$61.55,DEBIT
09/10/2025,TARGET T-1432,$58.38,DEBIT
09/10/2025,COMCAST CABLE COMM,$69.99,DEBIT
09/09/2025,METRO TRANSIT,$2.75,DEBIT
09/08/2025,BLUE BOTTLE COFFEE,$6.79,DEBIT
09/08/2025,METRO TRANSIT,$2.75,DEBIT
09/07/2025,SHELL OIL 5741,$45.37,DEBIT
09/07/2025,NETFLIX.COM,$15.49,DEBIT
09/07/2025,CVS/PHARMACY #0921,$24.85,DEBIT
09/07/2025,METRO TRANSIT,$2.75,DEBIT
09/06/2025,TRADER JOE'S #551,$101.74,DEBIT
09/06/2025,CHIPOTLE 1123,$23.81,DEBIT
09/05/2025,STARBUCKS #2231,$6.29,DEBIT
09/05/2025,PLANET FITNESS #1123,$24.99,DEBIT
09/04/2025,STARBUCKS #2231,$4.96,DEBIT
09/04/2025,METRO TRANSIT,$2.75,DEBIT
09/03/2025,STARBUCKS #2231,$5.79,DEBIT
09/03/2025,APPLE.COM/BILL ICLOUD,$2.99,DEBIT
09/03/2025,OAKWOOD APARTMENTS,"$1,450.00",DEBIT
09/03/2025,METRO TRANSIT,$2.75,DEBIT
09/02/2025,UBER *TRIP,$20.70,DEBIT
09/02/2025,STARBUCKS #2231,$6.19,DEBIT
09/02/2025,METRO TRANSIT,$2.75,DEBIT
09/01/2025,UBER *TRIP,$31.95,DEBIT
08/31/2025,UBER *TRIP,$21.31,DEBIT
08/31/2025,CHIPOTLE 1123,$20.22,DEBIT
08/30/2025,WHOLE FOODS MKT,$56.96,DEBIT
08/30/2025,SHELL OIL 5741,$39.11,DEBIT
08/30/2025,METRO TRANSIT,$2.75,DEBIT
08/29/2025,METRO TRANSIT,$2.75,DEBIT
08/28/2025,UBER *TRIP,$16.68,DEBIT
08/28/2025,ACME PAYROLL,"$2,841.50",CREDIT
08/27/2025,STARBUCKS #2231,$5.87,DEBIT
08/27/2025,KROGER #412,$103.96,DEBIT
08/27/2025,CHIPOTLE 1123,$20.54,DEBIT
08/26/2025,TARGET T-1432,$37.91,DEBIT
08/26/2025,CHIPOTLE 1123,$17.04,DEBIT
08/26/2025,METRO TRANSIT,$2.75,DEBIT
08/25/2025,BLUE BOTTLE COFFEE,$5.07,DEBIT
